name,id
110 in the shade,15423
151 Florida Bushwacker,14588
155 Belmont,15346
24k nightmare,17060
252,15288
3 Wise Men,13899
3-Mile Long Island Iced Tea,15300
410 Gone,13581
50/50,14598
501 Blue,17105
57 Chevy with a White License Plate,14029
69 Special,13940
747,14229
747 Drink,178318
9 1/2 Weeks,16108
A Day at the Beach,15200
A Furlong Too Late,17831
A Gilligan's Island,16943
A midsummernight dream,15675
A Night In Old Mandalay,17832
A Piece of Ass,16405
A Splash of Nash,14564
A True Amaretto Sour,17005
A. J.,17833
A.D.M. (After Dinner Mint),14560
A1,17222
Abbey Cocktail,17834
Abbey Martini,17223
ABC,13501
Abilene,17835
Absinthe #2,12790
Absolut Evergreen,14374
Absolut limousine,14372
Absolut Sex,14360
Absolut Stress #2,15597
Absolut Summertime,14107
Absolutely Cranberry Smash,15024
Absolutely Fabulous,17224
Absolutly Screwed Up,16134
Acapulco,17836
Ace,17225
ACID,14610
Adam,17837
Adam & Eve,17226
Adam Bomb,16333
Adam Sunrise,15567
Addington,17227
Addison,17228
Addison Special,14272
Adios Amigos Cocktail,17229
Adonis Cocktail,17838
Affair,17839
Affinity,17840
After Dinner Cocktail,11010
After Five,13807
After sex,15182
After Supper Cocktail,11011
Afternoon,13162
Alabama Slammer,11012
Alaska Cocktail,11013
Alexander,11014
Alfie Cocktail,11019
Algonquin,11020
Alice in Wonderland,17094
Allegheny,11021
Allies Cocktail,11022
Almeria,11023
Almond Chocolate Coffee,16082
Almond Joy,11024
Amaretto And Cream,11025
Amaretto fizz,178321
Amaretto Liqueur,12792
Amaretto Mist,11026
Amaretto Rose,11027
Amaretto Shake,15194
Amaretto Sour,13731
Amaretto Stinger,11028
Amaretto Stone Sour,14306
Amaretto Stone Sour Alternative,16100
Amaretto Sunrise,14578
Amaretto Sunset,17168
Amaretto Sweet & Sour,16202
Amaretto Tea,11029
Americano,15941
Angel Face,11034
Angelica Liqueur,12794
Aperol Spritz,178325
Apple Grande,16289
Apple Highball,178353
Apple Pie with A Crust,16958
Apple Slammer,13683
Applecar,11046
Applejack,16311
Apricot Lady,11050
Apricot punch,15849
Aquamarine,178319
Archbishop,11052
Arctic Fish,14622
Arctic Mouthwash,17118
Arise My Love,11053
