2023-11-08 01:47:32|INFO|GET|200|http://localhost:8000/docs|/docs|127.0.0.1:51453|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-08 01:47:33|INFO|GET|200|http://localhost:8000/openapi.json|/openapi.json|127.0.0.1:51453|0.007547|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-08 01:47:38|INFO|GET|200|http://localhost:8000/drinks?Alcoholic=true|/drinks|127.0.0.1:51453|0.269907|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-08 01:48:46|INFO|GET|200|http://localhost:8000/api/v1/get-test?name=Diego|/api/v1/get-test|127.0.0.1:51468|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 02:03:19|INFO|GET|200|http://localhost:8000/docs|/docs|127.0.0.1:53036|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 02:03:20|INFO|GET|200|http://localhost:8000/openapi.json|/openapi.json|127.0.0.1:53036|0.007593|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 02:03:26|INFO|GET|200|http://localhost:8000/drinks?Alcoholic=false|/drinks|127.0.0.1:53037|0.187439|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:30:43|INFO|GET|200|http://localhost:8000/docs|/docs|127.0.0.1:53968|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:30:44|INFO|GET|200|http://localhost:8000/openapi.json|/openapi.json|127.0.0.1:53968|0.006781|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:31:12|INFO|GET|200|http://localhost:8000/drinks?Alcoholic=true|/drinks|127.0.0.1:53969|0.233933|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:31:16|INFO|GET|200|http://localhost:8000/drinks?Alcoholic=false|/drinks|127.0.0.1:53969|0.134158|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:31:23|INFO|GET|200|http://localhost:8000/api/v1/get-test?name=Diego|/api/v1/get-test|127.0.0.1:53970|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:31:25|INFO|GET|200|http://localhost:8000/api/v1/get-test?name=Lucas|/api/v1/get-test|127.0.0.1:53970|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:31:31|INFO|GET|200|http://localhost:8000/get-test?name=Diego|/get-test|127.0.0.1:53976|0.001005|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:31:34|INFO|GET|200|http://localhost:8000/get-test?name=Lucas|/get-test|127.0.0.1:53976|0.001494|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
